1.jpg psrn: 17.35094984190695, ssim: 0.8103972130966429
10.jpg psrn: 19.246696931840752, ssim: 0.8139965290837864
100.jpg psrn: 24.035914177579375, ssim: 0.9162834881744949
11.jpg psrn: 26.205983158319746, ssim: 0.9043665817241204
12.jpg psrn: 23.317207685926775, ssim: 0.879121731386019
13.jpg psrn: 23.66335186496549, ssim: 0.8526131327690843
14.jpg psrn: 26.897873917985464, ssim: 0.9222799439771165
15.jpg psrn: 28.768682326316405, ssim: 0.875114400757377
16.jpg psrn: 21.754908487928418, ssim: 0.8800470008536833
17.jpg psrn: 17.782478632236266, ssim: 0.7328201810990507
18.jpg psrn: 22.33521017513404, ssim: 0.8510823381755804
19.jpg psrn: 25.80911256947724, ssim: 0.8996134332121443
2.jpg psrn: 18.12433207551163, ssim: 0.8614417475986755
20.jpg psrn: 19.673295504209594, ssim: 0.857328705010476
21.jpg psrn: 25.411187678038026, ssim: 0.9221510537067484
22.jpg psrn: 11.172247625347564, ssim: 0.6927415951110124
23.jpg psrn: 22.434359616877142, ssim: 0.9271120105722203
24.jpg psrn: 21.209007659263595, ssim: 0.8607384617419097
25.jpg psrn: 26.473271212057984, ssim: 0.8907985981480722
26.jpg psrn: 22.63871535496517, ssim: 0.8795882633170541
27.jpg psrn: 25.964119445664856, ssim: 0.8921849847627615
28.jpg psrn: 22.533642146521274, ssim: 0.8367061409141788
29.jpg psrn: 15.623612946834244, ssim: 0.6847596653568216
3.jpg psrn: 25.53814974599399, ssim: 0.9223101354789799
30.jpg psrn: 22.04209288222355, ssim: 0.8752033853049065
31.jpg psrn: 16.421602028487058, ssim: 0.8382635205577866
32.jpg psrn: 15.105216631912377, ssim: 0.7337432542076892
33.jpg psrn: 25.059272351049383, ssim: 0.9034202152279175
34.jpg psrn: 24.547210534206197, ssim: 0.9054782071169994
35.jpg psrn: 23.697086755232167, ssim: 0.9163159678212578
36.jpg psrn: 23.176347450437067, ssim: 0.8248659041091789
37.jpg psrn: 20.880132838749276, ssim: 0.8593588392348237
38.jpg psrn: 22.81153858258117, ssim: 0.9086113269414599
39.jpg psrn: 22.59886896624424, ssim: 0.8286228517667897
4.jpg psrn: 16.237092575414366, ssim: 0.8199963164014368
40.jpg psrn: 22.201469425922326, ssim: 0.9130647611129573
41.jpg psrn: 18.793101793678336, ssim: 0.8209208860391676
42.jpg psrn: 23.538342781403717, ssim: 0.8673774898822354
43.jpg psrn: 23.052342717129505, ssim: 0.8500967815482404
44.jpg psrn: 24.286229614175838, ssim: 0.9066096457507725
45.jpg psrn: 14.8534395088198, ssim: 0.8105974220052009
46.jpg psrn: 16.14597659676434, ssim: 0.6700523569387484
47.jpg psrn: 27.364046163916505, ssim: 0.943856485320754
48.jpg psrn: 24.44518879006968, ssim: 0.9112808580842028
