1.jpg psrn: 15.554334701304551, ssim: 0.7119474709185051
10.jpg psrn: 13.702766896235193, ssim: 0.6175468321260641
100.jpg psrn: 10.710888688915894, ssim: 0.5398363577482372
11.jpg psrn: 15.655107947758003, ssim: 0.6995015292757518
12.jpg psrn: 13.116052367173722, ssim: 0.6167347769043626
13.jpg psrn: 21.043807487489616, ssim: 0.8133590525351884
14.jpg psrn: 13.804876554694465, ssim: 0.6318282668150922
15.jpg psrn: 11.176395124213004, ssim: 0.6356657724725191
16.jpg psrn: 14.822806030243054, ssim: 0.7543275374800041
17.jpg psrn: 9.135906019719872, ssim: 0.5886769936175188
18.jpg psrn: 19.588698884601204, ssim: 0.6923862044173328
19.jpg psrn: 13.563059871021325, ssim: 0.6839302941102648
2.jpg psrn: 11.596092562199608, ssim: 0.5405552668137835
20.jpg psrn: 20.622639542028956, ssim: 0.7922232693544835
21.jpg psrn: 11.272554330516654, ssim: 0.6704175395344345
22.jpg psrn: 20.402922893019454, ssim: 0.8137169662925635
23.jpg psrn: 19.046294482088918, ssim: 0.8313722242723874
24.jpg psrn: 19.304108911045322, ssim: 0.7746300463339878
25.jpg psrn: 16.74116446207924, ssim: 0.7348423827537981
26.jpg psrn: 17.848213877475715, ssim: 0.7996893478877403
27.jpg psrn: 11.13551126991421, ssim: 0.6295542597378428
28.jpg psrn: 13.843215343532908, ssim: 0.6495985413433331
29.jpg psrn: 15.715203064200027, ssim: 0.6094796748258106
3.jpg psrn: 16.049729035232993, ssim: 0.7607803886130546
30.jpg psrn: 14.89536559814248, ssim: 0.6361650730004585
31.jpg psrn: 14.625625279188778, ssim: 0.6916510579986935
32.jpg psrn: 13.4873137347454, ssim: 0.6703083436050384
33.jpg psrn: 12.900207043078025, ssim: 0.7101598634698645
34.jpg psrn: 14.270989819944068, ssim: 0.6250626227008871
35.jpg psrn: 16.07806262664454, ssim: 0.7186082035795783
36.jpg psrn: 17.653587575191896, ssim: 0.7433043783367883
37.jpg psrn: 18.870927006481672, ssim: 0.6692758032556925
38.jpg psrn: 14.756944972957118, ssim: 0.730886334492912
